Accuracy,L2 Penalty Term
0.7435736677115987,0.01
0.7460815047021944,0.025
0.7442006269592477,0.04
0.7435736677115987,0.05500000000000001
0.742319749216301,0.07
0.7398119122257054,0.085
0.7410658307210032,0.1
0.7410658307210032,0.1
0.7404388714733543,0.25
0.7473354231974921,0.4
0.7435736677115987,0.5499999999999999
0.7429467084639498,0.7
0.7391849529780564,0.85
0.736050156739812,1.0
0.7398119122257054,2.5
0.7429467084639498,4.0
0.7517241379310345,5.5
0.7460815047021944,7.0
0.7435736677115987,8.5
0.7467084639498432,10.0
0.7448275862068965,11.5
0.7479623824451409,13.0
0.74858934169279,14.5
0.7460815047021944,16.0
0.747962382445141,17.5
0.7473354231974922,19.0