Training Error0.0001,Training Error 0.001,Training Error 0.01
1107.064053,1098.03364,1237.108331
1107.064053,1098.03364,1237.108331
1105.887577,1091.964077,4816.423454
1104.798006,1086.279372,7778.259954
1103.782651,1080.777836,2844.863285
1102.830713,1075.44344,8604.241783
1101.933005,1070.269951,1798.805644
1101.081707,1065.251811,7398.232082
1100.270166,1060.383666,2833.092519
1099.492723,1055.660343,8062.440643
1098.744559,1051.076837,1985.379691
1098.021577,1046.62831,6967.968282
1097.320289,1042.310099,2923.143821
1096.637727,1038.11769,7403.254318
1095.971364,1034.046738,2328.099971
1095.31905,1030.093047,6577.417546
1094.678954,1026.252574,3004.976774
1094.049517,1022.521411,6679.882626
1093.429414,1018.895805,2760.014389
1092.817512,1015.372131,6137.6375
1092.21285,1011.946899,3160.008868
1091.614606,1008.616742,5975.282837
1091.022083,1005.378429,3185.47677
1090.434684,1002.228838,5605.148445
1089.8519,999.1649669,3413.085274
1089.273299,996.1839203,5329.074097
1088.698511,993.2829172,3543.835822
1088.127221,990.4592762,5017.11221
1087.559158,987.7104155,3697.06838
1086.994092,985.033855,4721.408746
1086.431827,982.4272022,3815.650807
1085.872193,979.8881527,4429.620265
1085.315047,977.414489,3900.954165
1084.760265,975.004078,4150.899141
1084.207741,972.6548655,3936.733717
1083.657383,970.3648716,3889.643306
1083.109113,968.1321905,3916.910317
1082.562863,965.9549881,3650.393004
1082.018575,963.8314981,3844.64755
1081.476197,961.7600164,3435.525967
1080.935687,959.7389054,3732.752091
1080.397005,957.7665839,3246.003477
1079.860119,955.8415291,3598.679506
1079.324999,953.9622758,3082.322793
1078.791619,952.1274094,3459.264876
1078.259957,950.3355692,2944.614268
1077.729992,948.5854413,3327.584596
1077.201707,946.8757588,2832.119331
1076.675085,945.2053004,3211.845679
1076.150112,943.5728894,2742.846816
1075.626775,941.9773897,3115.664731
1075.105062,940.4177053,2673.812203
1074.584961,938.8927792,3039.112473
1074.066463,937.4015921,2621.495784
1073.549557,935.9431596,2980.022262
1073.034236,934.5165308,2582.361191
1072.52049,933.1207899,2935.233002
1072.008312,931.7550498,2553.16947
1071.497695,930.4184547,2901.404883
1070.98863,929.1101788,2531.191796
1070.481112,927.8294245,2875.542039
1069.975134,926.5754205,2514.258464
1069.470689,925.3474197,2855.211343
1068.967771,924.144703,2500.739116
1068.466374,922.9665745,2838.589855
1067.966492,921.8123613,2489.482232
1067.468119,920.6814105,2824.386724
1066.971249,919.5730937,2479.709577
1066.475878,918.4868016,2811.755218
1065.981999,917.421945,2470.926865
1065.489606,916.377953,2800.16128
1064.998695,915.354275,2462.826555
1064.509259,914.3503758,2789.288019
1064.021295,913.3657386,2455.231981
1063.534797,912.3998629,2778.957642
1063.049758,911.4522646,2448.042237
1062.566174,910.5224725,2769.070566
1062.08404,909.6100316,2441.198549
1061.603351,908.7145013,2759.569004
1061.124102,907.8354541,2434.666904
1060.646287,906.9724761,2750.432401
1060.169902,906.1251665,2428.43083
1059.694941,905.2931345,2741.630906
1059.2214,904.476004,2422.465528
1058.749273,903.6734089,2733.159799
1058.278556,902.8849939,2416.762047
1057.809243,902.1104144,2724.993038
1057.34133,901.3493363,2411.304163
1056.874813,900.6014353,2717.118541
1056.409685,899.8663964,2406.080018
1055.945942,899.143914,2709.524694
1055.48358,898.4336913,2401.070205
1055.022594,897.7354409,2702.190792
1054.562978,897.0488825,2396.26588
1054.104728,896.3737446,2695.103384
1053.647839,895.7097627,2391.652564
1053.192307,895.056681,2688.246594
1052.738126,894.4142503,2387.218312
1052.285292,893.7822275,2681.602654
1051.833801,893.1603778,2382.945511
1051.383647,892.5484726,2675.159044
1050.934826,891.9462879,2378.834434
1050.487334,891.3536089,2668.912512
1050.041165,890.7702244,2374.868478
1049.596315,890.1959298,2662.840119
1049.15278,889.6305257,2371.040025
1048.710555,889.0738186,2656.94166
1048.269635,888.5256198,2367.343723
1047.830015,887.9857461,2651.205302
1047.391692,887.4540189,2363.773531
1046.954661,886.930264,2645.62443
1046.518917,886.4143123,2360.322767
1046.084456,885.9059993,2640.189814
1045.651273,885.4051642,2356.979263
1045.219363,884.9116502,2634.891702
1044.788724,884.4253061,2353.74412
1044.359349,883.9459829,2629.73263
1043.931234,883.4735363,2350.613448
1043.504376,883.0078249,2624.696189
1043.07877,882.548712,2347.578196
1042.654411,882.0960635,2619.78627
1042.231295,881.6497495,2344.637736
1041.809418,881.2096427,2614.995375
1041.388775,880.7756189,2341.783867
1040.969362,880.3475574,2610.312464
1040.551175,879.9253403,2339.015398
1040.13421,879.5088529,2605.744386
1039.718462,879.0979829,2336.331763
1039.303928,878.6926206,2601.282104
1038.890602,878.2926597,2333.72758
1038.47848,877.897996,2596.919454
1038.067559,877.5085276,2331.194597
1037.657835,877.1241556,2592.65365
1037.249302,876.7447829,2328.742633
1036.841958,876.3703156,2588.486397
1036.435797,876.0006606,2326.358482
1036.030816,875.6357283,2584.414045
1035.627011,875.2754306,2324.043087
1035.224378,874.9196818,2580.42868
1034.822912,874.5683974,2321.792366
1034.422609,874.2214959,2576.529996
1034.023465,873.8788971,2319.606036
1033.625477,873.5405227,2572.713774
1033.22864,873.2062968,2317.479843
1032.83295,872.8761442,2568.976908
1032.438404,872.5499919,2315.413231
1032.044997,872.2277683,2565.318824
1031.652726,871.9094042,2313.409172
1031.261586,871.5948311,2561.742784
1030.871573,871.2839827,2311.457429
1030.482684,870.9767936,2558.235821
1030.094914,870.6732,2309.557923
1029.708261,870.3731397,2554.799349
1029.322719,870.0765517,2307.707594
1028.938285,869.7833763,2551.434859
1028.554956,869.493555,2305.910817
1028.172727,869.2070314,2548.13522
1027.791594,868.9237492,2304.164373
1027.411554,868.643654,2544.908147
1027.032603,868.3666921,2302.465571
1026.654737,868.0928113,2541.742758
1026.277953,867.8219604,2300.807848
1025.902246,867.5540894,2538.635698
1025.527614,867.2891492,2299.193621
1025.154051,867.0270919,2535.588054
1024.781555,866.7678707,2297.624813
1024.410122,866.5114388,2532.600719
1024.039748,866.2577519,2296.097237
1023.670429,866.0067656,2529.675795
1023.302162,865.7584367,2294.609982
1022.934943,865.5127227,2526.802066
1022.568769,865.2695825,2293.160321
1022.203636,865.0289754,2523.985018
1021.839539,864.7908614,2291.747939
1021.476477,864.5552014,2521.218378
1021.114445,864.3219575,2290.371131
1020.753439,864.0910922,2518.503988
1020.393456,863.8625688,2289.029193
1020.034493,863.6363515,2515.834371
1019.676546,863.4124046,2287.720934
1019.319611,863.190694,2513.219966
1018.963686,862.9711857,2286.448052
1018.608766,862.7538464,2510.655307
1018.254847,862.5386438,2285.210428
1017.901928,862.3255458,2508.139257
1017.550003,862.1145212,2284.001656
1017.19907,861.9055392,2505.665068
1016.849126,861.6985698,2282.822979
1016.500166,861.4935834,2503.236639
1016.152188,861.2905512,2281.676173
1015.805188,861.0894447,2500.85253
1015.459162,860.8902361,2280.556606
1015.114108,860.692898,2498.513252
1014.770022,860.4974034,2279.463722
1014.4269,860.3037264,2496.212049
1014.08474,860.1118411,2278.398013
1013.743538,859.921722,2493.953372
1013.403291,859.7333443,2277.35899
1013.063995,859.5466838,2491.735847
1012.725647,859.3617161,2276.346338
1012.388245,859.178418,2489.555643
1012.051784,858.9967664,2275.357602
1011.716261,858.8167384,2487.41417
1011.381674,858.638312,2274.390751
1011.048018,858.4614653,2485.310446
1010.715292,858.2861769,2273.449089
1010.383491,858.1124255,2483.243226
1010.052612,857.9401907,2272.532483
1009.722653,857.7694521,2481.215012
1009.39361,857.6001898,2271.635874
1009.06548,857.4323839,2479.220047
1008.738259,857.2660157,2270.759931
1008.411946,857.1010658,2477.261738
1008.086536,856.9375157,2269.906633
1007.762027,856.7753473,2475.338951
1007.438415,856.6145426,2269.078228
1007.115698,856.4550839,2473.451411
1006.793872,856.296954,2268.266515
1006.472934,856.1401357,2471.595215
1006.152882,855.9846125,2267.471703
1005.833712,855.8303678,2469.770326
1005.515421,855.6773856,2266.700833
1005.198006,855.5256499,2467.978236
1004.881464,855.3751451,2265.943715
1004.565793,855.2258558,2466.213548
1004.250989,855.0777669,2265.205763
1003.93705,854.9308637,2464.479795
1003.623971,854.7851315,2264.483289
1003.311751,854.6405559,2462.778074
1003.000387,854.497123,2263.782514
1002.689875,854.3548186,2461.107781
1002.380213,854.2136294,2263.096807
1002.071398,854.0735418,2459.466653
1001.763427,853.9345426,2262.430186
1001.456297,853.7966188,2457.857851
1001.150004,853.6597577,2261.77428
1000.844548,853.5239467,2456.271079
1000.539923,853.3891734,2261.133892
1000.236129,853.2554257,2454.709783
999.9331612,853.1226915,2260.508876
999.6310175,852.9909591,2453.175326
999.3296952,852.8602169,2259.895142
999.0291912,852.7304534,2451.665524
998.729503,852.6016577,2259.299161
998.4306279,852.4738184,2450.187322
998.1325628,852.3469248,2258.715921
997.8353052,852.2209661,2448.733262
997.5388524,852.0959319,2258.149525
997.2432017,851.9718117,2447.30557
996.9483503,851.8485954,2257.596066
996.6542951,851.7262728,2445.902857
996.3610338,851.604834,2257.05354
996.0685639,851.4842695,2444.521461
995.7768826,851.3645694,2256.523707
995.4859871,851.2457243,2443.165849
995.1958746,851.127725,2256.007148
994.9065427,851.0105623,2441.832934
994.6179888,850.8942272,2255.497609
994.3302102,850.7787107,2440.519044
994.0432043,850.6640042,2255.003829
993.7569684,850.5500988,2439.231154
993.4715002,850.4369863,2254.517334
993.1867969,850.3246582,2437.960911
992.9028558,850.2131061,2254.043636
992.6196746,850.1023222,2436.715783
992.3372507,849.9922982,2253.580526
992.0555811,849.8830263,2435.491351
991.7746639,849.7744987,2253.127124
991.4944964,849.6667079,2434.28835
991.2150756,849.5596461,2252.690821
990.9363996,849.453306,2433.109019
990.6584657,849.3476802,2252.255854
990.3812716,849.2427615,2431.943953
990.1048145,849.1385428,2251.833759
989.8290924,849.0350171,2430.798651
989.5541023,848.9321773,2251.42042
989.2798419,848.8300167,2429.677448
989.0063087,848.7285285,2251.015771
988.7335004,848.6277061,2428.572628
988.4614146,848.527543,2250.623917
988.190049,848.4280326,2427.48971
987.9194009,848.3291687,2250.233163
987.6494681,848.2309451,2426.41528
987.3802482,848.1333553,2249.852081
987.1117386,848.0363933,2425.361403
986.8439373,847.9400533,2249.482205
986.5768417,847.844329,2424.330811
986.3104497,847.7492148,2249.120658
986.0447587,847.6547049,2423.315724
985.7797663,847.5607935,2248.766716
985.5154702,847.4674751,2422.315419
985.2518684,847.3747439,2248.420327
984.9889581,847.2825947,2421.335659
984.7267374,847.191022,2248.079767
984.4652037,847.1000204,2420.369117
984.204355,847.0095848,2247.749595
983.9441892,846.9197099,2419.421601
983.6847036,846.8303906,2247.425427
983.425896,846.7416218,2418.489251
983.1677643,846.6533985,2247.110225
982.9103066,846.5657159,2417.574966
982.6535197,846.478569,2246.801601
982.3974023,846.391953,2416.674048
982.1419518,846.3058634,2246.499041
981.8871661,846.2202953,2415.785779
981.6330429,846.135244,2246.197851
981.3795801,846.0507052,2414.90965
981.1267755,845.9666742,2245.905187
980.8746271,845.8831467,2414.049778
980.6231324,845.8001182,2245.619105
980.3722894,845.7175844,2413.204538
980.122096,845.6355411,2245.340043
979.8725499,845.553984,2412.375711
979.6236489,845.4729089,2245.066615
979.3753914,845.3923118,2411.557016
979.1277748,845.3121885,2244.799129
978.8807971,845.232535,2410.752972
978.6344562,845.1533473,2244.536589
978.38875,845.0746216,2409.963653
978.1436766,844.9963539,2244.279846
977.8992338,844.9185406,2409.18926
977.6554192,844.8411777,2244.029743
977.4122311,844.7642614,2408.423757
977.1696676,844.6877883,2243.782514
976.9277264,844.6117545,2407.67039
976.6864056,844.5361565,2243.541519
976.4457028,844.4609907,2406.930091
976.2056165,844.3862536,2243.306214
975.9661442,844.3119418,2406.201942
975.7272842,844.2380517,2243.072379
975.4890345,844.1645801,2405.487262
975.2513931,844.0915236,2242.848872
975.0143579,844.0188787,2404.784959
974.777927,843.9466423,2242.630439
974.5420984,843.8748111,2404.092806
974.30687,843.8033819,2242.414976
974.0722399,843.7323515,2403.416226
973.8382063,843.6617168,2242.203292
973.6047673,843.5914747,2402.743544
973.3719209,843.5216222,2241.993814
973.1396652,843.4521562,2402.085215
972.907998,843.3830739,2241.789568
972.6769177,843.314372,2401.435426
972.4464222,843.2460477,2241.592395
972.2165098,843.1780983,2400.796193
971.9871785,843.1105207,2241.392403
971.7584263,843.0433123,2400.168473
971.5302514,842.97647,2241.200571
971.3026521,842.9099914,2399.54789
971.0756263,842.8438735,2241.011124
970.8491722,842.7781137,2398.939847
970.6232881,842.7127093,2240.827038
970.3979721,842.6476576,2398.340797
970.1732223,842.582956,2240.646251
969.949037,842.518602,2397.752898
969.7254142,842.4545929,2240.473515
969.5023523,842.3909263,2397.178822
969.2798492,842.3275996,2240.302464
969.0579032,842.2646103,2396.608484
968.8365127,842.201956,2240.133492
968.6156758,842.1396342,2396.045568
968.3953907,842.0776426,2239.962858
968.1756555,842.0159787,2395.490761
967.9564687,841.9546403,2239.79909
967.7378282,841.8936249,2394.946439
967.5197326,841.8329303,2239.638165
967.30218,841.7725542,2394.411961
967.0851686,841.7124943,2239.482379
966.8686966,841.6527485,2393.88723
966.6527625,841.5933143,2239.330402
966.4373643,841.5341898,2393.370934
966.2225006,841.4753728,2239.182024
966.0081695,841.4168609,2392.861843
965.7943694,841.3586523,2239.034318
965.5810983,841.3007446,2392.357989
965.368355,841.243136,2238.887948
965.1561373,841.1858242,2391.864206
964.9444439,841.1288073,2238.747305
964.7332729,841.0720832,2391.379925
964.5226229,841.0156499,2238.611086
964.3124919,840.9595054,2390.903287
964.1028784,840.9036479,2238.476518
963.8937809,840.8480752,2390.435878
963.6851977,840.7927856,2238.343497
963.4771271,840.7377771,2389.972493
963.2695674,840.6830478,2238.21459
963.0625171,840.6285958,2389.516726
962.8559744,840.5744193,2238.083412
962.6499379,840.5205165,2389.066848
962.4444059,840.4668855,2237.95632
962.2393768,840.4135246,2388.623703
962.0348492,840.3604319,2237.833825
961.8308212,840.3076058,2388.190202
961.6272913,840.2550443,2237.712652
961.4242581,840.2027459,2387.763565
961.2217198,840.1507087,2237.59798
961.0196751,840.0989311,2387.343345
960.8181222,840.0474115,2237.4769
960.6170596,839.996148,2386.923695
960.4164858,839.9451392,2237.363852
960.2163992,839.8943833,2386.516383
960.0167983,839.8438787,2237.250813
959.8176817,839.7936238,2386.114558
959.6190477,839.743617,2237.143314
959.4208948,839.6938568,2385.720156
959.2232216,839.6443415,2237.038477
959.0260264,839.5950695,2385.333308
958.8293078,839.5460395,2236.935642
958.6330643,839.4972498,2384.953028
958.4372944,839.448699,2236.834998
958.2419968,839.4003854,2384.578001
958.0471697,839.3523077,2236.735482
957.8528119,839.3044644,2384.204917
957.6589217,839.2568539,2236.632734
957.4654977,839.209475,2383.835133
957.2725385,839.1623261,2236.533885
957.0800428,839.1154058,2383.476415
956.888009,839.0687127,2236.437841
956.6964354,839.0222454,2383.120039
956.5053208,838.9760025,2236.346109
956.3146639,838.9299826,2382.771561
956.1244633,838.8841844,2236.256233
955.9347173,838.8386066,2382.430668
955.7454246,838.7932478,2236.168599
955.5565838,838.7481066,2382.091821
955.3681936,838.7031817,2236.079257
955.1802523,838.6584719,2381.757872
954.9927588,838.6139759,2235.990509
954.8057117,838.5696924,2381.427599
954.6191094,838.52562,2235.90556
954.4329507,838.4817575,2381.106899
954.247234,838.4381038,2235.825022
954.0619583,838.3946574,2380.789578
953.8771219,838.3514173,2235.743998
953.6927237,838.3083822,2380.475527
953.5087621,838.2655508,2235.663663
953.3252359,838.222922,2380.168741
953.1421436,838.1804946,2235.587552
952.9594841,838.1382674,2379.864911
952.7772559,838.0962392,2235.511432
952.5954577,838.0544089,2379.567388
952.4140882,838.0127753,2235.438198
952.2331459,837.9713373,2379.274062
952.0526298,837.9300937,2235.362525
951.8725385,837.8890433,2378.980509
951.6928706,837.8481852,2235.289343
951.5136248,837.8075181,2378.695313
951.3347998,837.7670409,2235.218988
951.1563944,837.7267527,2378.416352
950.9784071,837.6866522,2235.150088
950.800837,837.6467385,2378.137785
950.6236824,837.6070104,2235.08104
950.4469423,837.567467,2377.861861
950.2706152,837.528107,2235.010291
950.0946999,837.4889296,2377.593507
949.9191953,837.4499336,2234.946623
949.7441001,837.411118,2377.329454
949.5694131,837.3724819,2234.883046
949.3951329,837.3340242,2377.069701
949.2212584,837.2957439,2234.821431
949.0477881,837.2576401,2376.81566
948.874721,837.2197116,2234.761275
948.7020557,837.1819576,2376.562804
948.5297913,837.1443771,2234.701187
948.3579263,837.106969,2376.315576
948.1864595,837.0697326,2234.641477
948.0153897,837.0326667,2376.067823
947.8447159,836.9957704,2234.581145
947.6744366,836.9590428,2375.826095
947.5045508,836.922483,2234.526959
947.3350572,836.8860901,2375.589241
947.1659547,836.8498631,2234.472491
946.997242,836.8138011,2375.354835
946.828918,836.7779032,2234.416104
946.6609816,836.7421686,2375.127959
946.4934315,836.7065963,2234.364981
946.3262666,836.6711854,2374.898271
946.1594855,836.6359352,2234.310418
945.9930874,836.6008446,2374.673131
945.8270709,836.5659128,2234.25938
945.661435,836.531139,2374.455474
945.4961784,836.4965224,2234.206688
945.3313001,836.462062,2374.235256
945.1667988,836.427757,2234.154713
945.0026736,836.3936066,2374.0198
944.8389233,836.3596099,2234.105841
944.6755466,836.3257662,2373.81048
944.5125425,836.2920746,2234.06138
944.3499099,836.2585343,2373.604052
944.1876475,836.2251445,2234.014174
944.0257545,836.1919044,2373.399551
943.8642296,836.1588132,2233.968638
943.7030715,836.1258701,2373.197842
943.5422796,836.0930744,2233.924309
943.3818523,836.0604252,2372.998772
943.2217889,836.0279217,2233.879424
943.0620881,835.9955633,2372.802187
942.902749,835.963349,2233.834323
942.7437702,835.9312783,2372.611223
